DonViId,TenDonVi,DiaChi,Website,MoTa,ChuongTrinh,ChuSoHuu,LaChiNhanh,TinhTrang,GVVN,GVNN,HoatDong,LoaiQuyetDinh,QuyetDinhSo
79,"Công ty Trách nhiệm hữu hạn Kết Nối Học Tập
","219 bis, đường Nguyễn Thị Minh Khai, phường Nguyễn Cư Trinh Quận 1 Thành Phố Hồ Chí Minh",www.studylink.org,None,None,"Nguyễn Hồng Hà
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4247
"
80,"Công ty Trách nhiệm hữu hạn Việt Uy Tín
","63, đường Phạm Ngọc Thạch, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Văn Khải
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4246
"
81,"Công ty Trách nhiệm hữu hạn Giáo Dục
","144, phố Đội Cấn, phường Đội Cấn, quận Ba Đình, thành phố Hà Nội
 Quận Ba Đình Thành Phố Hà Nội",www.tec.edu.vn,None,None,"Phan Thị Hồng Phương
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4290
"
82,"Công ty Trách nhiệm hữu hạn Một thành viên Phát triển giáo dục Com-Pa
","07, đường Trần Quốc Thảo, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",www.compass.edu.vn ,None,None,"Huỳnh Minh Khôi
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4593
"
83,"Công ty Trách nhiệm hữu hạn Giáo dục và Đào tạo Sakura
","288, đường Nam Kỳ Khởi Nghĩa, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",www.compass.edu.vn ,None,None,"Huỳnh Minh Khôi
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4837
"
84,"Công ty Trách nhiệm hữu hạn Apax Franklin Academy
","Tầng 4, Tòa tháp A, Tòa nhà Sky City Tower, số 88 Láng Hạ, phường Láng Hạ, quận Đống Đa, thành phố Hà Nội Quận Đống Đa Thành Phố Hà Nội",None,None,None,"Vũ My Lan
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
85,"Công ty Trách nhiệm hữu hạn Quốc tế INSTULINK
","498/8, đường Nguyễn Văn Công, Phường 3 Quận Gò Vấp Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Dương Huyền
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4419
"
86,"Công ty Trách nhiệm hữu hạn Tư vấn và giải pháp Giáo Dục Việt Đức
","261, đường Thích Quảng Đức, Phường 4 Quận Phú Nhuận Thành Phố Hồ Chí Minh",www.tuvanvietduc.edu.vn,None,None,"Ngô Lệ Thủy
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,"4592
"
87,"Công ty Trách nhiệm hữu hạn Truyền thông và Giáo dục Quốc tế Edunet 
"," 2-4-6, đường Huỳnh Thúc Kháng, phường Bến Nghé Quận 1 Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Quốc Anh
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
88,"Công  ty TNHH MTV Thương mại và Hợp tác Giáo dục Mỹ Việt
","Phòng 512, tòa nhà Deacha, 360 Kim Mã Quận Ba Đình Thành Phố Hà Nội",None,None,None,"Nguyễn Thị Lệ Dung
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
89,"Công ty TNHH ISSILLO
","502 Đỗ Xuân Hợp, phường Phước Bình Quận 9 Thành Phố Hồ Chí Minh",None,None,None,"Nguyễn Thị Thùy Tiên
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,306
90,"Công ty Cổ phần Giáo dục và Năng lượng Đông Đô
","1014 đừơng Hương Lộ 2, Khu phố 6, phường Bình Trị Đông A Quận Bình Tân Thành Phố Hồ Chí Minh",dongdogroup.vn,None,None,"Quách Đình Đô
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,307
91,"Công ty Cổ phần Golden Path Academics Việt Nam - chi nhánh Miền Nam
","150B, Lê thị Hồng Gấm, phường Cầu Ông Lãnh Quận 1 Thành Phố Hồ Chí Minh",None,None,None,"Lương Thị Hoàng Lê
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,526
92,"Công ty Cổ phần Hợp Điểm
","số 31/1A Trần Khánh Dư, phường Tân Định Quận 1 Thành Phố Hồ Chí Minh",www.vietnamhopdiem.edu.vn,None,None,"Trần Hữu Phúc Tiến
",0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,None
